Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
2,1,9,10,MK-COMCODE,D,9,,9(9),,9 digits
3,10,10,10,DELIMITER,D,1,,X,,|
4,11,11,10,FILLER,D,1,,X,,Low Values
5,12,12,10,DELIMITER,D,1,,X,,|
6,13,17,10,FILLER,D,5,,X(5),,Low Values
7,18,18,10,DELIMITER,D,1,,X,,|
8,19,23,10,FILLER,D,5,,X(5),,Low Values
9,24,24,10,DELIMITER,D,1,,X,,|
10,25,29,10,FILLER,D,5,,X(5),,Low Values
11,30,30,10,DELIMITER,D,1,,X,,|
12,31,35,10,FILLER,D,5,,X(5),,Low Values
13,36,36,10,DELIMITER,D,1,,X,,|
14,37,37,10,FILLER,D,1,,X,,Low Values
15,38,38,10,DELIMITER,D,1,,X,,|
16,39,43,10,FILLER,D,5,,X(5),,Low Values
17,44,44,10,DELIMITER,D,1,,X,,|
18,45,45,10,FILLER,D,1,,X,,Low Values
19,46,46,10,DELIMITER,D,1,,X,,|
20,47,49,10,FILLER,D,3,,XXX,,Low Values
21,50,50,10,DELIMITER,D,1,,X,,|
22,51,53,10,FILLER,D,3,,XXX,,Low Values
23,54,54,10,DELIMITER,D,1,,X,,|
24,55,57,10,FILLER,D,3,,XXX,,Low Values
25,58,58,10,DELIMITER,D,1,,X,,|
26,59,60,10,FILLER,D,2,,XX,,Low Values
27,61,61,10,DELIMITER,D,1,,X,,|
28,62,63,10,FILLER,D,2,,XX,,Low Values
29,64,64,10,DELIMITER,D,1,,X,,|
30,65,66,10,FILLER,D,2,,XX,,Low Values
31,67,67,10,DELIMITER,D,1,,X,,|
32,68,69,10,FILLER,D,2,,XX,,Low Values
33,70,70,10,DELIMITER,D,1,,X,,|
34,71,71,10,FILLER,D,1,,X,,Low Values
35,72,72,10,DELIMITER,D,1,,X,,|
36,73,73,10,FILLER,D,1,,X,,Low Values
37,74,74,10,DELIMITER,D,1,,X,,|
38,75,75,10,FILLER,D,1,,X,,Low Values
39,76,76,10,DELIMITER,D,1,,X,,|
40,77,77,10,FILLER,D,1,,X,,Low Values
41,78,78,10,DELIMITER,D,1,,X,,|
42,79,79,10,FILLER,D,1,,X,,Low Values
43,80,80,10,DELIMITER,D,1,,X,,|
44,81,81,10,FILLER,D,1,,X,,Low Values
45,82,82,10,DELIMITER,D,1,,X,,|
46,83,83,10,FILLER,D,1,,X,,Low Values
47,84,84,10,DELIMITER,D,1,,X,,|
48,85,85,10,FILLER,D,1,,X,,Low Values
49,86,86,10,DELIMITER,D,1,,X,,|
50,87,89,10,FILLER,D,1,,XXX,,Low Values
51,90,90,10,DELIMITER,D,1,,X,,|
52,91,93,10,FILLER,D,1,,XXX,,Low Values
53,94,94,10,DELIMITER,D,1,,X,,|
54,95,151,10,FILLER,D,57,,X(57),,Low Values
55,152,152,10,DELIMITER,D,1,,X,,|
56,153,174,10,MK-FILENAME,D,22,,X(22),,22 characters
57,175,175,10,DELIMITER,D,1,,X,,|
58,176,179,10,MK-YEAR,D,4,,9(4),,4 digits
59,180,180,10,DELIMITER,D,1,,X,,|
60,181,182,10,MK-MONTH,D,2,,99,,2 digits
