Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
3,1,9,10,MK-COMCODE,D,9.0,,9(9),,9 digits
4,10,10,10,DELIMITER,D,1.0,,X,,|
5,11,11,10,MK-INTRA-EXTRA-IND,D,1.0,,9,,1 digit
6,12,12,10,DELIMITER,D,1.0,,X,,|
8,13,14,15,MK-INTRA-MM-ON,D,2.0,,99,,2 digits
9,15,15,15,MK-INTRA-DELIMITER,D,1.0,,X,,/
10,16,17,15,MK-INTRA-YY-ON,D,2.0,,99,,2 digits
11,18,18,15,DELIMITER,D,1.0,,X,,|
13,19,20,15,MK-INTRA-MM-OFF,D,2.0,,99,,2 digits
14,21,21,15,MK-INTRA-DELIMITER,D,1.0,,X,,/
15,22,23,15,MK-INTRA-YY-OFF,D,2.0,,99,,2 digits
16,24,24,15,DELIMITER,D,1.0,,X,,|
18,25,26,15,MK-EXTRA-MM-ON,D,2.0,,99,,2 digits
19,27,27,15,MK-EXTRA-DELIMITER,D,1.0,,X,,/
20,28,29,15,MK-EXTRA-YY-ON,D,2.0,,99,,1 digit
21,30,30,15,DELIMITER,D,1.0,,X,,|
23,31,32,15,MK-EXTRA-MM-OFF,D,2.0,,99,,2 digits
24,33,33,15,MK-EXTRA-DELIMITER,D,1.0,,X,,/
25,34,35,15,MK-EXTRA-YY-OFF,D,2.0,,99,,2 digits
26,36,36,15,DELIMITER,D,1.0,,X,,|
27,37,37,10,MK-NON-TRADE-ID,D,1.0,,9,,1 digit
28,38,38,10,DELIMITER,D,1.0,,X,,|
29,39,43,10,MK-SITC-NO,D,5.0,,9(5),,5 digits
30,44,44,10,DELIMITER,D,1.0,,X,,|
31,45,45,10,MK-SITC-IND,D,1.0,,9,,1 digit
32,46,46,10,DELIMITER,D,1.0,,X,,|
33,47,49,10,MK-SITC-CONV-A,D,3.0,,9(3),,3 digits
34,50,50,10,DELIMITER,D,1.0,,X,,|
35,51,53,10,MK-SITC-CONV-B,D,3.0,,9(3),,3 digits
36,54,54,10,DELIMITER,D,1.0,,X,,|
37,55,57,10,MK-CN-Q2,D,3.0,,9(3),,3 digits
38,58,58,10,DELIMITER,D,1.0,,X,,|
39,59,60,10,MK-SUPP-ARRIVALS,D,2.0,,S9,,Leading Sign+1 digit
40,61,61,10,DELIMITER,D,1.0,,X,,|
41,62,63,10,MK-SUPP-DESPATCHES,D,2.0,,S9,,Leading Sign+1 digit
42,64,64,10,DELIMITER,D,1.0,,X,,|
43,65,66,10,MK-SUPP-IMPORTS,D,2.0,,S9,,Leading Sign+1 digit
44,67,67,10,DELIMITER,D,1.0,,X,,|
45,68,69,10,MK-SUPP-EXPORTS,D,2.0,,S9,,Leading Sign+1 digit
46,70,70,10,DELIMITER,D,1.0,,X,,|
48,71,71,15,MK-SUB-GROUP-ARR,D,1.0,,9,,1 digit
49,72,72,15,DELIMITER,D,1.0,,X,,|
50,73,73,15,MK-ITEM-ARR,D,1.0,,9,,1 digit
51,74,74,15,DELIMITER,D,1.0,,X,,|
52,75,75,15,MK-SUB-GROUP-DESP,D,1.0,,9,,1 digit
53,76,76,15,DELIMITER,D,1.0,,X,,|
54,77,77,15,MK-ITEM-DESP,D,1.0,,9,,1 digit
55,78,78,15,DELIMITER,D,1.0,,X,,|
56,79,79,15,MK-SUB-GROUP-IMP,D,1.0,,9,,1 digit
57,80,80,15,DELIMITER,D,1.0,,X,,|
58,81,81,15,MK-ITEM-IMP,D,1.0,,9,,1 digit
59,82,82,15,DELIMITER,D,1.0,,X,,|
60,83,83,15,MK-SUB-GROUP-EXP,D,1.0,,9,,1 digit
61,84,84,15,DELIMITER,D,1.0,,X,,|
62,85,85,15,MK-ITEM-EXP,D,1.0,,9,,1 digit
64,86,86,10,DELIMITER,D,1.0,,X,,|
65,87,89,10,MK-QTY1-ALPHA,D,3.0,,XXX,,3 characters
66,90,90,10,DELIMITER,D,1.0,,X,,|
67,91,93,10,MK-QTY2-ALPHA,D,3.0,,XXX,,3 characters
68,94,94,10,DELIMITER,D,1.0,,X,,|
69,95,155,10,MK-COMMODITY-ALPHA-1,D,61.0,,X(61),,61 characters
70,156,156,10,DELIMITER,D,1.0,,X,,|
71,157,204,10,MK-COMMODITY-ALPHA-2,D,48.0,,X(48),,48 characters
71,95,5000,10,MK-COMMODITY-ALPHA-ALL,D,48.0,,X(48),,48 characters
