Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
2,1,9,5,SMK-COMCODE,D,9,,9(9),,9 digits
3,10,10,5,DELIMITER,D,1,,X,,|
4,11,11,5,SMK-RECORD-TYPE,D,1,,9,,1 digit
5,12,12,5,DELIMITER,D,1,,X,,|
6,13,15,5,SMK-COD-SEQ,D,3,,9(3),,3 digits
7,16,16,5,DELIMITER,D,1,,X,,|
8,17,18,5,SMK-COD-ALPHA,D,2,,XX,,2 characters
9,19,19,5,DELIMITER,D,1,,X,,|
10,20,20,5,SMK-TRADE-IND,D,1,,9,,1 digit
11,21,21,5,DELIMITER,D,1,,X,,|
12,22,24,5,SMK-COO-SEQ,D,3,,9(3),,3 digits
13,25,25,5,DELIMITER,D,1,,X,,|
14,26,27,5,SMK-COO-ALPHA,D,2,,XX,,2 characters
15,28,28,5,DELIMITER,D,1,,X,,|
16,29,31,5,SMK-NATURE-OF-TRANSACTION,D,3,,9(3),,3 digits
17,32,32,5,DELIMITER,D,1,,X,,|
18,33,35,5,SMK-MODE-OF-TRANSPORT,D,3,,9(3),,3 digits
19,36,36,5,DELIMITER,D,1,,X,,|
20,37,43,5,SMK-PERIOD-REFERENCE,D,7,,9(7),,7 digits
21,44,44,5,DELIMITER,D,1,,X,,|
22,45,47,5,SMK-SUITE-INDICATOR,D,3,,9(3),,3 digits
23,48,48,5,DELIMITER,D,1,,X,,|
24,49,53,5,SMK-SITC,D,5,,9(5),,5 digits
25,54,54,5,DELIMITER,D,1,,X,,|
26,55,63,5,SMK-IP-COMCODE,D,9,,9(9),,9 digits
27,64,64,5,DELIMITER,D,1,,X,,|
28,65,76,5,SMK-NO-OF-CONSIGNMENTS,D,12,,S9(11),,Leading Sign+11 digits
29,77,77,5,DELIMITER,D,1,,X,,|
30,78,93,5,SMK-STAT-VALUE,D,16,,S9(15),,Leading Sign+15 digits
31,94,94,5,DELIMITER,D,1,,X,,|
32,95,108,5,SMK-NETT-MASS,D,14,,S9(13),,Leading Sign+13 digits
33,109,109,5,DELIMITER,D,1,,X,,|
34,110,123,5,SMK-SUPP-UNIT,D,14,,S9(13),,Leading Sign+13 digits
35,42,43,5,SMK-PERIOD-REFERENCE-MONTH,D,2,,9(7),,
36,38,41,5,SMK-PERIOD-REFERENCE-YEAR,D,4,,9(7),,
37,1,8,,COMCODE8,,,,,,
