,field_name,full_name,description
0,ACCOUNT - CCYY,Century and Year of Account,Identifies the century and year of an item in format CCYY. For non-amendment records this will be the same as the file month; for amendment records it will be the year to which the amendment relates.
1,ACCOUNT - MM,Month of Account,Identifies the month of account of an item in format MM. For non-amendment records this will be the same as the file month; for amendment records it will be the month to which the amendment relates.
2,ADDR-1,Address – Line 1,1st Line of Postal Address 
3,ADDR-2,Address – Line 2,2nd Line of Postal Address
4,ADDR-3,Address – Line 3,3rd Line of Postal Address
5,ADDR-4,Address – Line 4,4th Line of Postal Address
6,ADDR-5,Address – Line 5,5th Line of Postal Address
7,CB CODE,CB code,"This code denotes items subject to certain customs procedures or belonging to certain duty groups:
01 - EFTA/EEA countries
02 - agreements between EU and Andorra, Albania, Bosnia
& Herzegovina, Ceuta, Mellila, Faroes, Occupied Palestinian Territory, Croatia, Israel, FYR Macedonia, Mexico, San Marino, South Africa (Vol 1 pt 7 of Tariff).
03 - Mashraq countries (Vol 1 pt 7 of Tariff)
04 - Maghreb countries (Vol 1 pt 7 of Tariff)
05 - ACP countries
06 - OCT countries
07 - GSP
08 - EU free circulation
09 - re-imported goods
10 - inward processing
11 - not currently in use
12 - outward processing relief
13 - outward processing relief textiles
It is important to note that procedure information relates only to the regime initially declared in the UK. Where a consignment undergoes a subsequent change of procedure, this change will not be reflected."
8,CN-Q2,Combined Nomenclature-2nd Quantity ,"Indicates whether the 2nd quantity is a national (UK) or a Combined Nomenclature (EU) requirement and is relevant when compiling figures similar to those produced by the UK for Eurostat.
000 – No CN 2nd quantity required
200 – CN 2nd quantity required"
9,COD - ALPHA,COD alpha,"Alpha code for Country of Destination (Exports/Dispatches) or Country of Dispatch (Imports/Arrivals). For codes see here.
Country of Destination (Exports/Dispatches) - country of ultimate destination. This is the final country to which the goods are being exported from the UK irrespective of any changes to the means of transport en route (provided they are not subject to a commercial transaction in an intermediate country).
Country of Dispatch (Imports/Arrivals) - country from which the goods were originally dispatched to the UK (regardless of transhipment through intermediate countries en route). This is not necessarily the country of origin/manufacture or the last country from which the goods were shipped to the UK. Where a change of ownership occurs en route or where the sale occurs via an intermediary country, the Country of Dispatch is the country where the last commercial transaction took place (i.e. the intermediary country, even though the goods never physically resided in that country)."
10,COD - SEQUENCE,COD sequence,Numeric sequence for Country of Destination or Country of Dispatch. See above for definition.
11,COMCODE,Commodity code,"9 digit commodity code comprising:
1-8 Combined Nomenclature
9 zero (formerly national sub-division)
The following pseudo commodity codes exist for specific categories of trade:
9920 9900 Parcel Post
9930 2400 ) Ships & Aircraft stores with 
9930 2700 ) effect from 1.1.02, valid for 
9930 9900 ) Non-EU and EU trade.
9950 0000 Low Value* 
9990 9908 Continental Shelf
* aggregated under pseudo code 9950 0000 and cannot 
be allocated to a specific comcode or to country. For values see OTS Methodology Paper.
Consult Tariff or ICN for a full list of commodity codes and descriptions."
12,COMMODITY-ALPHA-1 ,Commodity code alpha description,Description of the commodity code – line 1
13,COMMODITY-ALPHA-2 ,Commodity code alpha description,Description of the commodity code – line 2
14,CONTAINER,Container,"Code identifying goods transported by container:
0 not in container
1 in container 
‘0’ for Trade Indicator 5 items."
15,COO - ALPHA,COO alpha,"Alpha code for Country of Origin. The Country of Origin is the country where the goods were originally produced, which may be different from the Country of Dispatch (Country of Origin will be different from Country of Dispatch if goods have been sold to another country before being consigned to the UK). 
This field is mandatory for imports, not required for the rest.
For codes see here."
16,COO - SEQ,COO sequence,Numeric sequence for Country of Origin. See above for definition and usage. 
