Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
2,1,9,5,MAF-COMCODE,D,9.0,,9(9),,9 digits
3,10,10,5,DELIMITER,D,1.0,,X,,|
4,11,15,5,MAF-SITC,D,5.0,,9(5),,5 digits
5,16,16,5,DELIMITER,D,1.0,,X,,|
6,17,19,5,MAF-RECORD-TYPE,D,3.0,,9(3),,3 digits
7,20,20,5,DELIMITER,D,1.0,,X,,|
8,20,143,5,MAF-ITEM-FIELDS,D,,,,,
9,21,23,10,MAF-COD-SEQUENCE,D,3.0,,9(3),,3 digits
10,24,24,10,DELIMITER,D,1.0,,X,,|
11,25,26,10,MAF-COD-ALPHA,D,2.0,,XX,,2 characters
12,27,27,10,DELIMITER,D,1.0,,X,,|
13,28,30,10,MAF-COO-SEQUENCE,D,3.0,,9(3),,3 digits
14,31,31,10,DELIMITER,D,1.0,,X,,|
15,32,33,10,MAF-COO-ALPHA,D,2.0,,XX,,2 characters
16,34,34,10,DELIMITER,D,1.0,,X,,|
17,35,36,10,MAF-ACCOUNT-MM,D,2.0,,99,,2 digits
18,37,37,10,MAF-DATE-DELIMITER,D,1.0,,X,,/
19,38,41,10,MAF-ACCOUNT-CCYY,D,4.0,,9(4),,4 digits
20,42,42,10,DELIMITER,D,1.0,,X,,|
21,43,45,10,MAF-PORT-SEQUENCE,D,3.0,,9(3),,3 digits
22,46,46,10,DELIMITER,D,1.0,,X,,|
23,47,49,10,MAF-PORT-ALPHA,D,3.0,,XXX,,3 characters
24,50,50,10,DELIMITER,D,1.0,,X,,|
25,51,53,10,MAF-FLAG-SEQUENCE,D,3.0,,9(3),,3 digits
26,54,54,10,DELIMITER,D,1.0,,X,,|
27,55,56,10,MAF-FLAG-ALPHA,D,2.0,,XX,,2 characters
28,57,57,10,DELIMITER,D,1.0,,X,,|
29,58,60,10,MAF-COUNTRY-SEQUENCE-COO-IMP,D,3.0,,9(3),,3 digits
30,61,61,10,DELIMITER,D,1.0,,X,,|
31,62,63,10,MAF-COUNTRY-ALPHA-COO-IMP,D,2.0,,XX,,2 characters
32,64,64,10,DELIMITER,D,1.0,,X,,|
33,65,65,10,MAF-TRADE-INDICATOR,D,1.0,,9,,1 digit
34,66,66,10,DELIMITER,D,1.0,,X,,|
35,67,69,10,MAF-CONTAINER,D,3.0,,9(3),,3 digits
36,70,70,10,DELIMITER,D,1.0,,X,,|
37,71,73,10,MAF-MODE-OF-TRANSPORT,D,3.0,,9(3),,3 digits
38,74,74,10,DELIMITER,D,1.0,,X,,|
39,75,76,10,MAF-INLAND-MOT,D,2.0,,99,,2 digits
40,77,77,10,DELIMITER,D,1.0,,X,,|
41,78,80,10,MAF-GOLO-SEQUENCE,D,3.0,,9(3),,3 digits
42,81,81,10,DELIMITER,D,1.0,,X,,|
43,82,84,10,MAF-GOLO-ALPHA,D,3.0,,XXX,,3 characters
44,85,85,10,DELIMITER,D,1.0,,X,,|
45,86,88,10,MAF-SUITE-INDICATOR,D,3.0,,9(3),,3 digits
46,89,89,10,DELIMITER,D,1.0,,X,,|
47,90,92,10,MAF-PROCEDURE-CODE,D,3.0,,9(3),,3 digits
48,93,93,10,DELIMITER,D,1.0,,X,,|
49,94,96,10,MAF-CB-CODE,D,3.0,,9(3),,3 digits
50,97,97,10,DELIMITER,D,1.0,,X,,|
51,98,113,10,MAF-VALUE,D,16.0,,S9(15),,Leading Sign+15 digits
52,114,114,10,DELIMITER,D,1.0,,X,,|
53,115,128,10,MAF-QUANTITY-1,D,14.0,,S9(13),,Leading Sign+13 digits
54,129,129,10,DELIMITER,D,1.0,,X,,|
55,130,143,10,MAF-QUANTITY-2,D,14.0,,S9(13),,Leading Sign+13 digits
56,1,8,,COMCODE8,,,,,,
