code_2,code,desc,code_base,desc_base
01,1,Live Animals; Animal Products ,F,Food and feed
02,1,Live Animals; Animal Products ,F,Food and feed
03,1,Live Animals; Animal Products ,F,Food and feed
04,1,Live Animals; Animal Products ,F,Food and feed
05,1,Live Animals; Animal Products ,F,Food and feed
06,2,Vegetable Products ,F,Food and feed
07,2,Vegetable Products ,F,Food and feed
08,2,Vegetable Products ,F,Food and feed
09,2,Vegetable Products ,F,Food and feed
10,2,Vegetable Products ,F,Food and feed
11,2,Vegetable Products ,F,Food and feed
12,2,Vegetable Products ,F,Food and feed
13,2,Vegetable Products ,F,Food and feed
14,2,Vegetable Products ,F,Food and feed
15,3,Animal Or Vegetable Fats And Oils And Their Cleavage Products; Prepared Edible Fats; Animal Or Vegetable Waxes ,F,Food and feed
16,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
17,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
18,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
19,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
20,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
21,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
22,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
23,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
24,4,"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes ",F,Food and feed
25,5,Mineral Products ,NF,All other products
26,5,Mineral Products ,NF,All other products
27,5,Mineral Products ,NF,All other products
28,6,Products Of The Chemical Or Allied Industries ,NF,All other products
29,6,Products Of The Chemical Or Allied Industries ,NF,All other products
30,6,Products Of The Chemical Or Allied Industries ,NF,All other products
31,6,Products Of The Chemical Or Allied Industries ,NF,All other products
32,6,Products Of The Chemical Or Allied Industries ,NF,All other products
33,6,Products Of The Chemical Or Allied Industries ,NF,All other products
34,6,Products Of The Chemical Or Allied Industries ,NF,All other products
35,6,Products Of The Chemical Or Allied Industries ,NF,All other products
36,6,Products Of The Chemical Or Allied Industries ,NF,All other products
37,6,Products Of The Chemical Or Allied Industries ,NF,All other products
38,6,Products Of The Chemical Or Allied Industries ,NF,All other products
39,7,Plastics And Articles Thereof; Rubber And Articles Thereof ,NF,All other products
40,7,Plastics And Articles Thereof; Rubber And Articles Thereof ,NF,All other products
41,8,"Raw Hides And Skins, Leather, Furskins And Articles Thereof; Saddlery And Harness; Travel Goods, Handbags And Similar Containers; Articles Of Animal Gut (Other Than Silkworm Gut) ",NF,All other products
42,8,"Raw Hides And Skins, Leather, Furskins And Articles Thereof; Saddlery And Harness; Travel Goods, Handbags And Similar Containers; Articles Of Animal Gut (Other Than Silkworm Gut) ",NF,All other products
43,8,"Raw Hides And Skins, Leather, Furskins And Articles Thereof; Saddlery And Harness; Travel Goods, Handbags And Similar Containers; Articles Of Animal Gut (Other Than Silkworm Gut) ",NF,All other products
44,9,"Wood And Articles Of Wood; Wood Charcoal; Cork And Articles Of Cork; Manufactures Of Straw, Of Esparto Or Of Other Plaiting Materials; Basketware And Wickerwork ",NF,All other products
45,9,"Wood And Articles Of Wood; Wood Charcoal; Cork And Articles Of Cork; Manufactures Of Straw, Of Esparto Or Of Other Plaiting Materials; Basketware And Wickerwork ",NF,All other products
46,9,"Wood And Articles Of Wood; Wood Charcoal; Cork And Articles Of Cork; Manufactures Of Straw, Of Esparto Or Of Other Plaiting Materials; Basketware And Wickerwork ",NF,All other products
47,10,Pulp Of Wood Or Of Other Fibrous Cellulosic Material; Recovered (Waste And Scrap) Paper Or Paperboard; Paper And Paperboard And Articles Thereof ,NF,All other products
48,10,Pulp Of Wood Or Of Other Fibrous Cellulosic Material; Recovered (Waste And Scrap) Paper Or Paperboard; Paper And Paperboard And Articles Thereof ,NF,All other products
49,10,Pulp Of Wood Or Of Other Fibrous Cellulosic Material; Recovered (Waste And Scrap) Paper Or Paperboard; Paper And Paperboard And Articles Thereof ,NF,All other products
50,11,Textiles And Textile Articles ,NF,All other products
51,11,Textiles And Textile Articles ,NF,All other products
52,11,Textiles And Textile Articles ,NF,All other products
53,11,Textiles And Textile Articles ,NF,All other products
54,11,Textiles And Textile Articles ,NF,All other products
55,11,Textiles And Textile Articles ,NF,All other products
56,11,Textiles And Textile Articles ,NF,All other products
57,11,Textiles And Textile Articles ,NF,All other products
58,11,Textiles And Textile Articles ,NF,All other products
59,11,Textiles And Textile Articles ,NF,All other products
60,11,Textiles And Textile Articles ,NF,All other products
61,11,Textiles And Textile Articles ,NF,All other products
62,11,Textiles And Textile Articles ,NF,All other products
63,11,Textiles And Textile Articles ,NF,All other products
64,12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seat-Sticks, Whips, Riding-Crops And Parts Thereof; Prepared Feathers And Articles Made Therewith; Artificial Flowers; Articles Of Human ",NF,All other products
65,12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seat-Sticks, Whips, Riding-Crops And Parts Thereof; Prepared Feathers And Articles Made Therewith; Artificial Flowers; Articles Of Human ",NF,All other products
66,12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seat-Sticks, Whips, Riding-Crops And Parts Thereof; Prepared Feathers And Articles Made Therewith; Artificial Flowers; Articles Of Human ",NF,All other products
67,12,"Footwear, Headgear, Umbrellas, Sun Umbrellas, Walking Sticks, Seat-Sticks, Whips, Riding-Crops And Parts Thereof; Prepared Feathers And Articles Made Therewith; Artificial Flowers; Articles Of Human ",NF,All other products
68,13,"Articles Of Stone, Plaster, Cement, Asbestos, Mica Or Similar Materials; Ceramic Products; Glass And Glassware ",NF,All other products
69,13,"Articles Of Stone, Plaster, Cement, Asbestos, Mica Or Similar Materials; Ceramic Products; Glass And Glassware ",NF,All other products
70,13,"Articles Of Stone, Plaster, Cement, Asbestos, Mica Or Similar Materials; Ceramic Products; Glass And Glassware ",NF,All other products
71,14,"Natural Or Cultured Pearls, Precious Or Semi-Precious Stones, Precious Metals, Metals Clad With Precious Metal, And Articles Thereof; Imitation Jewellery; Coin ",NF,All other products
72,15,Base Metals And Articles Of Base Metal ,NF,All other products
73,15,Base Metals And Articles Of Base Metal ,NF,All other products
74,15,Base Metals And Articles Of Base Metal ,NF,All other products
75,15,Base Metals And Articles Of Base Metal ,NF,All other products
76,15,Base Metals And Articles Of Base Metal ,NF,All other products
78,15,Base Metals And Articles Of Base Metal ,NF,All other products
79,15,Base Metals And Articles Of Base Metal ,NF,All other products
80,15,Base Metals And Articles Of Base Metal ,NF,All other products
81,15,Base Metals And Articles Of Base Metal ,NF,All other products
82,15,Base Metals And Articles Of Base Metal ,NF,All other products
83,15,Base Metals And Articles Of Base Metal ,NF,All other products
84,16,"Machinery And Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders And Reproducers, Television Image And Sound Recorders And Reproducers, And Parts And Accessories Of Such ",NF,All other products
85,16,"Machinery And Mechanical Appliances; Electrical Equipment; Parts Thereof; Sound Recorders And Reproducers, Television Image And Sound Recorders And Reproducers, And Parts And Accessories Of Such ",NF,All other products
86,17,"Vehicles, Aircraft, Vessels And Associated Transport Equipment ",NF,All other products
87,17,"Vehicles, Aircraft, Vessels And Associated Transport Equipment ",NF,All other products
88,17,"Vehicles, Aircraft, Vessels And Associated Transport Equipment ",NF,All other products
89,17,"Vehicles, Aircraft, Vessels And Associated Transport Equipment ",NF,All other products
90,18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical Or Surgical Instruments And Apparatus; Clocks And Watches; Musical Instruments; Parts And Accessories Thereof ",NF,All other products
91,18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical Or Surgical Instruments And Apparatus; Clocks And Watches; Musical Instruments; Parts And Accessories Thereof ",NF,All other products
